"hgy_external_id","hyrox_official_name","original_blocker","facility_authority_url","postal_code","prefecture","city","canonical_name","matched_location_id","matched_location_slug","proposed_slug","final_classification","resolution_reason","unresolved_gaps"
"HGY_7FDA3W6p88v6evTHGBhfHFrvP","LUAANA CLUB","MISSING_OFFICIAL_URL","https://www.luaanaclub.com/","1460082","東京都","大田区","LUAANA CLUB 蒲田池上店","","","luaana-club-1460082","NEW_LOCATION_READY","Official facility site confirms 蒲田池上店 and 池上7-10-10.",""
"HGY_7MJZO3Hp7vJJplWi30g6yPwIZ","Good Habit daikanyama","POSTAL_AUTHORITY_GAP","https://g-habit.com/","1500033","東京都","渋谷区","Good Habit daikanyama","","","good-habit-daikanyama-1500033","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_8H50Rl3LSNsoSHxOxOIoY5UYN","Beequick Fitness　Koshigaya","IDENTITY_ADDRESS_INSUFFICIENT","https://www.beequick.jp/location/koshigaya/","3430812","埼玉県","越谷市","Beequick Fitness　Koshigaya","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_8sKmKHEiaR8tARb6zZUUbaYjU","ジムフィールド所沢スタジオ","MISSING_OFFICIAL_URL","https://www.gym-field.com/studio/","3590023","埼玉県","所沢市","ジムフィールド 所沢スタジオ","","","hyrox-training-club-3590023","NEW_LOCATION_READY","The reviewed facility-specific URL is retired (direct HTTP 404); the current Gym Field first-party studio locator explicitly lists Tokorozawa Studio (HYROX) and the unchanged physical address.",""
"HGY_90X3Qce65u8nhankG8yTJUVfT","jirogym fitness studio","MISSING_OFFICIAL_URL","","1410031","東京都","品川区","jirogym fitness studio","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_9IKMUsTNBlBvTvkWFddMxqsEg","Personalgym VITA","POSTAL_AUTHORITY_GAP","https://vita-e.jp/","4440858","愛知県","岡崎市","Personalgym VITA","","","personalgym-vita-4440858","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_9j7tOa1tFNd8qcCG1Wyo5FzJ6","FORGE","MISSING_OFFICIAL_URL","","4380071","静岡県","磐田市","FORGE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_9poyQWuldcVuaHADNMHWTPRfQ","CrossFit Machiya","MISSING_OFFICIAL_URL","https://www.crossfitmachiya.com/","1160002","東京都","荒川区","CrossFit Machiya","","","crossfit-machiya-1160002","NEW_LOCATION_READY","Official facility site confirms CrossFit Machiya and 荒川6-6-1.",""
"HGY_a672D4AVpogVam9W86vDdYGuj","RLIGHT24 HYROX部","SOCIAL_BOOKING_HOSTED_ONLY","https://www.instagram.com/hyrox_tokushima/","7700023","徳島県","徳島市","RLIGHT24 HYROX部","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_A6L66KJGjc8HfLRFmuyJgBMyQ","BEYOND浜松店","MISSING_OFFICIAL_URL","https://beyond-gym.com/gym/gym-hamamatsu/","4300924","静岡県","浜松市中央区","BEYOND 浜松店","","","beyond-4300924","NEW_LOCATION_READY","Official branch page confirms 浜松店 and 龍禅寺町74-1.",""
"HGY_AcmNmQZowUS3ehpJBjGOvQgRe","FANTREPOT","IDENTITY_ADDRESS_INSUFFICIENT","https://fantrepot-fitness.com/HYROX/","0640805","北海道","札幌市中央区","FANTREPOT","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_AHoCtS3to66qSTwkomuID9Bf3","TLS FITNESS KAMIITABASHI","MISSING_OFFICIAL_URL","","1740076","東京都","板橋区","TLS FITNESS KAMIITABASHI","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_AiNQvbz5TpUUyIPPCXIneECQU","LEAN BODY STORE","SOCIAL_BOOKING_HOSTED_ONLY","https://leanbodystore.my.canva.site/private-gym","5203015","滋賀県","栗東市","LEAN BODY STORE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_AoLBcMl9MBTosyMcyW5KxrTM4","オレンジセオリーフィットネス三鷹","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/mitaka/","1810013","東京都","三鷹市","オレンジセオリーフィットネス三鷹","","","hyrox-training-club-1810013","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_AtvMure1xIvHhFKf1bEcOksKK","ARQ","MISSING_OFFICIAL_URL","","1020074","東京都","千代田区","ARQ","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_az9UDrEFxvUWQKCA02UiR5GVY","UBX Aobadai","MISSING_OFFICIAL_URL","","2270062","神奈川県","横浜市青葉区","UBX Aobadai","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_azt9tOadi7pmSggVQmQJ6hWZ3","オレンジセオリーフィットネス関内","IDENTITY_ADDRESS_INSUFFICIENT","https://www.orangetheoryfitness.co.jp/kannai/","2310015","神奈川県","横浜市中区","オレンジセオリーフィットネス関内","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_B3b9UhAHRpfS8gfh1UXY6UF35","G2FITNESS","IDENTITY_ADDRESS_INSUFFICIENT","https://g2-fitness.com/","4100022","静岡県","沼津市","G2FITNESS","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_B9sy6uIdHbgwEkUt5vKBAigMH","オレンジセオリーフィットネス下北沢","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/shimokitazawa/","1550032","東京都","世田谷区","オレンジセオリーフィットネス下北沢","","","hyrox-training-club-1550032","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_bflglCfjg61ogQkThSd1y80Jn","CrossFit HAYATE","IDENTITY_ADDRESS_INSUFFICIENT","https://crossfithayate.com/","4560057","愛知県","名古屋市熱田区","CrossFit HAYATE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_BJ47rrRIRrDxsxXY3zuNW9imJ","LIVERIC","MISSING_OFFICIAL_URL","","5410059","大阪府","大阪市中央区","LIVERIC","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_BxeyXbrPQJ0gqrRx5fQBEe5hC","TLS FITNESS NAGAHARA","MISSING_OFFICIAL_URL","","1450064","東京都","大田区","TLS FITNESS NAGAHARA","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_C71sb4HIOLDnsHEpGiA3caMOJ","ELEMENT 池尻大橋店","POSTAL_AUTHORITY_GAP","https://element-gym.com/","1530042","東京都","目黒区","ELEMENT 池尻大橋店","","","element-1530042","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_cBVz2QE1ud5Vy3MNNptUi0O9o","Redmond","MISSING_OFFICIAL_URL","","2380021","神奈川県","横須賀市","Redmond","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_CKpn4DHneWfrqTUVaA7D5Whop","VAMOS","POSTAL_AUTHORITY_GAP","https://vamos-training.com/ja","1500011","東京都","渋谷区","VAMOS","","","vamos-1500011","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_Ct7U9fHhZ9namSPnoClvfxBCd","BEYOND山形店","MISSING_OFFICIAL_URL","https://beyond-gym.com/gym/gym-yamagata/","9900054","山形県","山形市","BEYOND 山形店","","","beyond-9900054","NEW_LOCATION_READY","Official branch page confirms 山形店 and 六日町6-40.",""
"HGY_cu0qxn1IsExMf7hzxplXEr5ox","MotomachiBay Fitness","IDENTITY_ADDRESS_INSUFFICIENT","https://www.motomachibayfitness.com/","2310862","神奈川県","横浜市中区","MotomachiBay Fitness","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_diFBy7oXAn6GUnOvyW556WTVW","ジムフィールド堺東スタジオ","IDENTITY_ADDRESS_INSUFFICIENT","https://www.gym-field.com/sakaihigashi/hyrox/","5900076","大阪府","堺市堺区","ジムフィールド堺東スタジオ","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","brand semantics unresolved"
"HGY_DLjUhhRwnLvdG4hC8cXKSPzCq","CrossFit MACHIDA","MISSING_OFFICIAL_URL","","1940022","東京都","町田市","CrossFit MACHIDA","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_DnvhbwSSMXQWN6DL1AdCp966G","Gold’s Gym Kashihara Nara","MISSING_OFFICIAL_URL","https://www.goldsgym.jp/shop/kashihara-nara/","6340008","奈良県","橿原市","ゴールドジム 橿原奈良","","","hyrox-training-club-6340008","NEW_LOCATION_READY","Official branch page confirms 橿原奈良 and 十市町1222-1.",""
"HGY_DUga56vMn8fhpPz2dd0ZYSL8A","オレンジセオリーフィットネス八事","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/nagoya-yagoto-ikeshita/","4660834","愛知県","名古屋市昭和区","オレンジセオリーフィットネス八事","","","","SOURCE_CONFLICT","Duplicate/conflict audit found a material identity collision","duplicate canonical facility URL"
"HGY_DWTQ6FfFIG3fDJP1helxDpfmL","F45 Training Hamamatsucho","POSTAL_AUTHORITY_GAP","https://f45training.com/jp/studio/hamamatsucho/","1050013","東京都","港区","F45 Training Hamamatsucho","","","f45-training-hamamatsucho","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_e0rqkrg7L4ataPZD4gGoOL0W9","UFC Gym YOGA","MISSING_OFFICIAL_URL","https://yoga.ufcgym.co.jp/","1580096","東京都","世田谷区","UFC Gym 用賀","","","ufc-gym-1580096","NEW_LOCATION_READY","Official facility site confirms 用賀 and 玉川台2-22-20.",""
"HGY_EixPsvYrIifAztmXBj8p1XAyw","Urban Heroes Tokyo","SOCIAL_BOOKING_HOSTED_ONLY","https://www.urbanheroestokyo.com/","1060031","東京都","港区","Urban Heroes Tokyo","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_Em6Ykdm6hSAiCWilyjc9Wdiqk","株式会社INSPA","POSTAL_AUTHORITY_GAP","https://www.inspa.jp/","2210054","神奈川県","横浜市神奈川区","株式会社INSPA","","","inspa-2210054","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_f8sZVaVktoc9eBl6vRaTzBDWe","パーソナルジムハクト","POSTAL_AUTHORITY_GAP","https://hackt-upsetworkout.com/","2320027","神奈川県","横浜市南区","パーソナルジムハクト","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","brand semantics unresolved"
"HGY_fd08dzI687maGklD0PMhGHHZ7","オレンジセオリーフィットネス東久留米","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/higashikurume/","2030014","東京都","東久留米市","オレンジセオリーフィットネス東久留米","","","hyrox-training-club-2030014","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_FiCZhKUENG3Vf6prJVC8KhpOK","FITNESS CLUB EXE GYM HYROX","MISSING_OFFICIAL_URL","","5500002","大阪府","大阪市西区","FITNESS CLUB EXE GYM HYROX","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_fQVwlHEYY1obNCVUUJSvk4Efc","イージートゥアップ","MISSING_OFFICIAL_URL","","","","miyakojimaku","イージートゥアップ","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","brand semantics unresolved; deterministic semantic slug unavailable; facility identity/address not confirmed by strong first-party authority; postal authority postal_authority_unresolved; reliable facility-specific authority URL missing"
"HGY_GjdVGIybcOjSedJ9IQ6fDsZPv","CrossFit Kamuy","POSTAL_AUTHORITY_GAP","https://crossfitkamuy.com/","2200073","神奈川県","横浜市西区","CrossFit Kamuy","","","crossfit-kamuy-2200073","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_GpxyO4qXkplkOv85yJTN590Q3","K.K. CrossFitness","MISSING_OFFICIAL_URL","","1060032","東京都","港区","K.K. CrossFitness","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_GrguErmIvNituRVHMp4XMrzhZ","P.U LAB","MISSING_OFFICIAL_URL","","5340025","大阪府","大阪市都島区","P.U LAB","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_GUa4TuelZVO6XiKTfVGi9MmkF","オレンジセオリーフィットネス 八王子オーパ","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/hachioji/","1920083","東京都","八王子市","オレンジセオリーフィットネス 八王子オーパ","","","hyrox-training-club-1920083","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_gxp3RxDXjGnAXoHd4NDNwGxXP","Hyex大宮","IDENTITY_ADDRESS_INSUFFICIENT","https://hyex.jp/","3300843","埼玉県","さいたま市大宮区","Hyex大宮","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_Gytouu2Jl1EjSpgwMrT4tlmkc","オレンジセオリーフィットネス青葉台","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/aobadai/","2270062","神奈川県","横浜市青葉区","オレンジセオリーフィットネス青葉台","","","hyrox-training-club-2270062","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_h8B3zjgLhoVELa3YhExLIEuxq","OTF MACHIDA","MISSING_OFFICIAL_URL","https://www.orangetheoryfitness.co.jp/machida/","1940022","東京都","町田市","オレンジセオリーフィットネス 町田","","","hyrox-training-club-1940022","NEW_LOCATION_READY","Official HYROX/branch pages confirm 町田 and 森野1-19-20.",""
"HGY_hh2gFINyLgIbu8P1uFb9ChYf1","Beequick Fitness　Tateyama","POSTAL_AUTHORITY_GAP","https://www.beequick.jp/location/tateyama/","2940047","千葉県","館山市","Beequick Fitness　Tateyama","","","beequick-fitness-tateyama","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_hh8OAkaxSb7jABGYdA8MH6mgA","エニタイムフィットネス西町店","MISSING_OFFICIAL_URL","https://www.anytimefitness.co.jp/nishimachi/","0630062","北海道","札幌市西区","エニタイムフィットネス 西町店","","","hyrox-training-club-0630062","NEW_LOCATION_READY","Official branch page confirms 西町店, 西町南2-1-16, and the Anytime Fitness brand.",""
"HGY_HjNdQDAfuWv7EMnLQgF19CxlE","CONDITIONNING LAB SYNE","MISSING_OFFICIAL_URL","","1900023","東京都","立川市","CONDITIONNING LAB SYNE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_HxEZO63b6wj0lpmQE74SHJiW7","ジムフィールド豊中スタジオ","MISSING_OFFICIAL_URL","https://www.gym-field.com/studio/","5610807","大阪府","豊中市","ジムフィールド 豊中スタジオ","","","hyrox-training-club-5610807","NEW_LOCATION_READY","Official studio locator confirms 豊中, 原田中1-9-7, and the shared ジムフィールド brand.",""
"HGY_hxrks6HbdDFZBBpodBKZJ7Gb4","きん肉こまつ","MISSING_OFFICIAL_URL","","5998236","大阪府","堺市中区","きん肉こまつ","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","brand semantics unresolved; facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_HyOiWuqQnPyPOR4J3eI86EztG","VAMOS FIELD KamiIkebukuro","MISSING_OFFICIAL_URL","","1700004","東京都","豊島区","VAMOS FIELD KamiIkebukuro","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_i25m4SPcDFBD8fDB1UFmCNZvP","オレンジセオリーフィットネス本八幡","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/motoyawata/","2720021","千葉県","市川市","オレンジセオリーフィットネス本八幡","","","hyrox-training-club-2720021","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_I5QXnm7FEYFTEAvXmWjgmeNA3","ハイアルチ下北沢スタジオ","MISSING_OFFICIAL_URL","https://high-alti.jp/studio/","1550033","東京都","世田谷区","ハイアルチ 下北沢スタジオ","","","hyrox-training-club-1550033","NEW_LOCATION_READY","Official studio locator confirms 下北沢, 代田6-6-1, and the shared ハイアルチ brand.",""
"HGY_i69hHLLmM3NSGkdz0T1eWSTAL","CrossFit ILF","MISSING_OFFICIAL_URL","","9010416","沖縄県","島尻郡八重瀬町","CrossFit ILF","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_i9WQU37U4iMwhDulqaXJLnA2v","CrossFit Mitaka","POSTAL_AUTHORITY_GAP","https://crossfitmitaka.tokyo/","1810013","東京都","三鷹市","CrossFit Mitaka","","","crossfit-mitaka-1810013","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_ieFxGEcXDTIJbIkfnlyMiXSkG","Square fitness kasumigaseki.S","MISSING_OFFICIAL_URL","","3501103","埼玉県","川越市","Square fitness kasumigaseki.S","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_ilpB5BY0mpBU4wTEZgBbmetS7","CrossFit 松山","MISSING_OFFICIAL_URL","https://www.crossfitmatsuyama.com/","7918015","愛媛県","松山市","CrossFit 松山","","","crossfit-7918015","NEW_LOCATION_READY","Official facility site confirms CrossFit 松山 and 松山市中央1-4-5.",""
"HGY_In33itcmu8v93rkwKZy42O3U6","TRIVE","MISSING_OFFICIAL_URL","","5410056","大阪府","大阪市中央区","TRIVE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_iZUzR5DRBK3M09AkhPf9nIWcF","ableize+","SOCIAL_BOOKING_HOSTED_ONLY","https://www.instagram.com/ableize_plus/","4600002","愛知県","名古屋市中区","ableize+","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_j1Szv4JmxytARCgfm48f0Z4xS","HTC CHIKUSA– Human Performance Training Center –","POSTAL_AUTHORITY_GAP","https://htc-chikusa.com/","4600007","愛知県","名古屋市中区","HTC CHIKUSA– Human Performance Training Center –","","","htc-chikusa-human-performance-training-center-4600007","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_JCa2wmnnXSkHcguScx2Fg9XC8","CrossFit Amagasaki","MISSING_OFFICIAL_URL","https://cf-amagasaki.jp/","6600807","兵庫県","尼崎市","CrossFit Amagasaki","","","crossfit-amagasaki-6600807","NEW_LOCATION_READY","Official site and official profile confirm CrossFit Amagasaki and 長洲西通1-13-7.",""
"HGY_JIrzMHO2rP2Len2KG3ZOew0ot","GymFit Build Run Core","MISSING_OFFICIAL_URL","","2130001","神奈川県","川崎市高津区","GymFit Build Run Core","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_JvN4Z8dSYs9ca9kzgNl28kWVL","CrossFit Nakamozu","SOCIAL_BOOKING_HOSTED_ONLY","https://www.instagram.com/crossfit_nakamozu/","5918032","大阪府","堺市北区","CrossFit Nakamozu","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_KaZs1vtKjZL5y93x84bg7nOEf","ジムフィールド梅田スタジオ","POSTAL_AUTHORITY_GAP","https://www.gym-field.com/","5530003","大阪府","大阪市福島区","ジムフィールド梅田スタジオ","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","brand semantics unresolved"
"HGY_KfmsGVY1O0Uo5HUJvnNoeyQvc","BRC Hyrox Training Club","IDENTITY_ADDRESS_INSUFFICIENT","https://personal-gymfit.com/lp/brc-light/suita/","5640073","大阪府","吹田市","BRC Hyrox Training Club","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority"
"HGY_kk6NqoZrMoGBicxYBwVJafaE2","オレンジセオリーフィットネス武蔵小金井","POSTAL_AUTHORITY_GAP","https://www.orangetheoryfitness.co.jp/musashikoganei/","1840004","東京都","小金井市","オレンジセオリーフィットネス武蔵小金井","","","hyrox-training-club-1840004","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_KqtNHNJuS9bxAfH4mTf5V0Ojz","ZENITH FITNESS","MISSING_OFFICIAL_URL","","3020006","茨城県","取手市","ZENITH FITNESS","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_KXsKkigAHxENjfO8pM4ocl6FF","Beequick Fitness　Fuji imaizumi","POSTAL_AUTHORITY_GAP","https://www.beequick.jp/location/fujiimaizumi/","4170001","静岡県","富士市","Beequick Fitness　Fuji imaizumi","","","beequick-fitness-fuji-imaizumi","NEW_LOCATION_READY","Governing, facility, postal, coordinate, brand, and duplicate preconditions are complete",""
"HGY_L3VAddWv1SmZCR2GoXzjkXvDi","KAMAKURA TRAINING GARAGE","MISSING_OFFICIAL_URL","","2470056","神奈川県","鎌倉市","KAMAKURA TRAINING GARAGE","","","","REMAINS_NEEDS_REVIEW","One or more required authority gates remain unresolved","facility identity/address not confirmed by strong first-party authority; reliable facility-specific authority URL missing"
"HGY_LofMB67LwXKWbb4m2xQmqsqMD","OTF URAWA","MISSING_OFFICIAL_URL","https://orangetheoryfitness.co.jp/urawa/index.html","3300062","埼玉県","さいたま市浦和区","オレンジセオリーフィットネス 浦和","","","hyrox-training-club-3300062","NEW_LOCATION_READY","Official branch page confirms 浦和 and 仲町1-3-10.",""
